timestamp,temperature_2m,relative_humidity_2m,temperature_2m_scaled,relative_humidity_2m_scaled,sound_volume
2024-01-05 13:00:00,9.633,79.9041,-0.30059597,0.09623826,-0.21393904656314766
2024-01-05 14:00:00,9.333,80.9708,-0.34066612,0.16833293,-0.035462629039262686
2024-01-05 15:00:00,8.583,83.71583,-0.4408414,0.35385936,-2.1090376163291147
2024-01-05 16:00:00,6.983,89.86374,-0.65454876,0.76937455,-0.9496574314869444
2024-01-05 17:00:00,5.883,91.681404,-0.80147254,0.892224,0.7998627880897896
2024-01-05 18:00:00,4.533,94.213264,-0.98178804,1.0633434,-0.9949373195914096
2024-01-05 19:00:00,4.683,94.88436,-0.96175295,1.1087004,0.05236705621604501
2024-01-05 20:00:00,4.383,95.54223,-1.0018231,1.1531633,0.10771956472273979
2024-01-05 21:00:00,4.683,95.88856,-0.96175295,1.1765704,-0.645823288234991
2024-01-05 22:00:00,5.033,95.565056,-0.9150045,1.1547061,0.6113270325483732
2024-01-05 23:00:00,5.233,92.60901,-0.8882911,0.9549175,1.6438874092431686
2024-01-06 00:00:00,4.833,92.586,-0.9417179,0.9533623,-1.4624239678746915
2024-01-06 01:00:00,4.433,93.21813,-0.9951447,0.99608594,0.5033648441271072
2024-01-06 02:00:00,4.083,92.870544,-1.0418932,0.9725937,0.939334128238514
2024-01-06 03:00:00,4.383,89.34325,-1.0018231,0.73419636,-0.2509558939479708
2024-01-06 04:00:00,4.283,87.45156,-1.0151798,0.6063441,-1.391632251033801
2024-01-06 05:00:00,3.833,88.98079,-1.0752851,0.70969915,2.1772768338502853
2024-01-06 06:00:00,3.033,91.82305,-1.1821386,0.9017975,0.5521899068509819
2024-01-06 07:00:00,2.333,93.439896,-1.2756356,1.0110742,-1.4339398906096028
2024-01-06 08:00:00,3.533,90.55605,-1.115355,0.81616557,0.46794327150869736
2024-01-06 09:00:00,4.683,86.563644,-0.96175295,0.546333,-0.4762050481764596
2024-01-06 10:00:00,5.283,81.27036,-0.8816128,0.18857916,-0.7248145733138786
2024-01-06 11:00:00,5.633,80.45679,-0.8348643,0.1335925,-0.5633156416454285
2024-01-06 12:00:00,5.583,82.76537,-0.8415426,0.28962153,-0.6492103689762453
2024-01-06 13:00:00,5.283,84.506165,-0.8816128,0.40727535,1.4468184722854311
2024-01-06 14:00:00,5.233,85.10103,-0.8882911,0.44748008,-1.2914249532013726
2024-01-06 15:00:00,5.083,86.910866,-0.90832615,0.5698005,0.9570273417888531
2024-01-06 16:00:00,4.783,90.64675,-0.94839627,0.82229555,-0.5786862028167268
2024-01-06 17:00:00,4.683,92.25185,-0.96175295,0.93077815,0.5685246856710001
2024-01-06 18:00:00,4.483,93.879906,-0.98846644,1.0408128,-0.9301439924712113
2024-01-06 19:00:00,4.233,95.536934,-1.0218582,1.1528054,0.379260474130038
2024-01-06 20:00:00,4.283,94.86821,-1.0151798,1.1076088,-1.7659768217865488
2024-01-06 21:00:00,4.183,95.19913,-1.0285366,1.1299742,-1.03428885850874
2024-01-06 22:00:00,4.183,97.57345,-1.0285366,1.290446,0.24388402709135149
2024-01-06 23:00:00,4.033,97.91438,-1.0485716,1.3134886,-0.07577291827398173
2024-01-07 00:00:00,3.783,98.95022,-1.0819633,1.383497,-0.23813689569957988
2024-01-07 01:00:00,3.833,97.223335,-1.0752851,1.2667832,1.3848075522594328
2024-01-07 02:00:00,3.433,98.5985,-1.1287118,1.3597258,0.30403983337553925
2024-01-07 03:00:00,2.983,98.593414,-1.1888169,1.3593819,-0.5931987647225301
2024-01-07 04:00:00,3.183,97.90009,-1.1621035,1.3125229,0.6892441563482901
2024-01-07 05:00:00,3.233,97.20998,-1.1554252,1.2658803,0.297780824051897
2024-01-07 06:00:00,3.333,96.52609,-1.1420685,1.2196591,1.549650373914646
2024-01-07 07:00:00,3.283,96.18312,-1.1487468,1.1964788,-0.7425068884451774
2024-01-07 08:00:00,3.183,94.8234,-1.1621035,1.1045804,0.6927998904762704
2024-01-07 09:00:00,2.783,89.85417,-1.2155303,0.76872796,-1.8493285858425552
2024-01-07 10:00:00,2.533,85.41231,-1.2489221,0.46851832,-0.8528472304675766
2024-01-07 11:00:00,2.383,83.55848,-1.2689573,0.34322473,-0.04698216153121276
2024-01-07 12:00:00,2.233,81.14246,-1.2889923,0.1799349,-0.0884004966393639
2024-01-07 13:00:00,2.133,76.794334,-1.302349,-0.113939516,1.3300814574888014
2024-01-07 14:00:00,1.833,74.78936,-1.3424191,-0.24944854,-0.367412734219118
2024-01-07 15:00:00,1.133,76.62682,-1.4359161,-0.12526098,-0.27305675556206965
2024-01-07 16:00:00,0.533,77.96098,-1.5160562,-0.03508991,-2.448240719268392
2024-01-07 17:00:00,0.083000004,77.59878,-1.5761615,-0.059570078,0.42905688961351207
2024-01-07 18:00:00,-0.26700002,74.689674,-1.6229099,-0.25618592,0.7099459972886351
2024-01-07 19:00:00,-0.81700003,72.64307,-1.6963718,-0.3945088,0.8203164774264841
2024-01-07 20:00:00,-1.367,69.82531,-1.7698337,-0.58495086,0.3661958711733937
2024-01-07 21:00:00,-1.917,66.823586,-1.8432956,-0.7878266,-0.2669161113220191
2024-01-07 22:00:00,-2.217,67.2732,-1.8833656,-0.7574387,0.040552247387142866
2024-01-07 23:00:00,-2.517,67.205925,-1.9234358,-0.76198566,-0.23452307084996932
2024-01-08 00:00:00,-2.767,66.63076,-1.9568275,-0.800859,-1.3718122895063605
2024-01-08 01:00:00,-2.217,67.79426,-1.8833656,-0.7222223,0.3166292088131626
2024-01-08 02:00:00,-2.417,67.22836,-1.9100791,-0.76046914,-0.583116437645013
2024-01-08 03:00:00,-2.467,68.00111,-1.9167573,-0.70824224,-0.4326892349019049
2024-01-08 04:00:00,-2.317,68.56087,-1.8967224,-0.67041,1.0103084845710635
2024-01-08 05:00:00,-2.117,68.07811,-1.870009,-0.7030378,-1.476124187113081
2024-01-08 06:00:00,-1.917,66.56656,-1.8432956,-0.80519813,0.5511492035649397
2024-01-08 07:00:00,-2.367,61.01606,-1.9034008,-1.1803364,-1.2457783487404717
2024-01-08 08:00:00,-2.917,61.59648,-1.9768627,-1.1411078,0.83549633972308
2024-01-08 09:00:00,-2.867,62.58124,-1.9701843,-1.0745513,1.4808038588459311
2024-01-08 10:00:00,-2.517,62.180717,-1.9234358,-1.1016214,0.6533402421647203
2024-01-08 11:00:00,-1.917,60.892693,-1.8432956,-1.1886743,-0.9105077089494513
2024-01-08 12:00:00,-1.417,59.15332,-1.776512,-1.3062322,-0.4977186754029805
2024-01-08 13:00:00,-1.267,62.974438,-1.756477,-1.0479767,-0.2745896636485959
2024-01-08 14:00:00,-0.967,60.897434,-1.7164068,-1.1883539,-0.13386374629139694
2024-01-08 15:00:00,-1.167,61.319275,-1.7431203,-1.1598432,0.31932498282056865
2024-01-08 16:00:00,-1.667,62.633682,-1.8099039,-1.0710071,-0.7351003345813114
2024-01-08 17:00:00,-2.067,63.513847,-1.8633306,-1.0115199,-1.5933357858244905
2024-01-08 18:00:00,-3.017,65.54524,-1.9902194,-0.87422526,-0.4922829105903908
2024-01-08 19:00:00,-3.167,65.51021,-2.0102544,-0.87659305,0.9019438870140997
2024-01-08 20:00:00,-3.367,66.49374,-2.0369678,-0.8101199,0.12020729988427468
2024-01-08 21:00:00,-3.6669998,64.375496,-2.0770378,-0.9532842,0.4960554650908338
2024-01-08 22:00:00,-4.167,62.504345,-2.1438215,-1.0797485,-1.5431247042443845
2024-01-08 23:00:00,-4.467,62.677338,-2.1838915,-1.0680566,2.390604045854442
2024-01-09 00:00:00,-4.517,61.43409,-2.19057,-1.1520833,-1.1651779055873017
2024-01-09 01:00:00,-4.917,64.58414,-2.2439969,-0.9391829,-0.5065652060648258
2024-01-09 02:00:00,-4.967,62.304314,-2.250675,-1.0932679,0.6199681418912317
2024-01-09 03:00:00,-4.967,61.564316,-2.250675,-1.1432817,-0.436788592685055
2024-01-09 04:00:00,-4.917,60.84504,-2.2439969,-1.191895,2.1212215852243577
2024-01-09 05:00:00,-4.917,59.40431,-2.2439969,-1.2892689,0.7924343066608808
2024-01-09 06:00:00,-4.917,56.613792,-2.2439969,-1.4778699,0.276996969213948
2024-01-09 07:00:00,-4.867,53.737514,-2.2373183,-1.6722671,-1.170541352062186
2024-01-09 08:00:00,-4.367,49.696613,-2.1705348,-1.9453771,0.2177746181444633
2024-01-09 09:00:00,-3.067,43.118813,-1.9968977,-2.389947,0.6974648474579471
2024-01-09 10:00:00,-1.967,39.423035,-1.8499739,-2.6397312,-0.016741624058818894
2024-01-09 11:00:00,-0.66700006,35.114517,-1.6763368,-2.9309285,1.9840989651654986
2024-01-09 12:00:00,0.48299998,31.00534,-1.5227346,-3.208653,-0.8018521511370311
2024-01-09 13:00:00,0.13299999,38.189205,-1.5694832,-2.7231214,1.4810713095493595
2024-01-09 14:00:00,0.23299998,36.857845,-1.5561264,-2.8131032,-1.6591548465476196
2024-01-09 15:00:00,-0.66700006,39.50758,-1.6763368,-2.6340172,1.0132016782757822
2024-01-09 16:00:00,-3.217,47.675232,-2.0169327,-2.081995,-0.6708606269256127
2024-01-09 17:00:00,-3.617,48.921295,-2.0703595,-1.997778,-0.22297413325646898
2024-01-09 18:00:00,-4.417,51.52717,-2.1772132,-1.8216565,-0.9485179456572639
2024-01-09 19:00:00,-5.117,53.66617,-2.27071,-1.6770892,-1.2534492304349862
2024-01-09 20:00:00,-5.067,52.390724,-2.264032,-1.7632918,-0.5565495638584619
2024-01-09 21:00:00,-5.117,50.493195,-2.27071,-1.8915391,2.0627906390778183
2024-01-09 22:00:00,-5.467,51.219788,-2.3174586,-1.8424312,1.6725170925340636
2024-01-09 23:00:00,-5.117,49.879086,-2.27071,-1.9330444,-1.695674681697163
2024-01-10 00:00:00,-4.967,49.923653,-2.250675,-1.9300324,-0.012902013398568715
2024-01-10 01:00:00,-5.367,54.2508,-2.3041017,-1.6375759,0.49622688725304365
2024-01-10 02:00:00,-4.817,52.88955,-2.23064,-1.729578,-1.0228939607589722
2024-01-10 03:00:00,-4.617,54.463135,-2.2039266,-1.6232251,0.1549094124846285
2024-01-10 04:00:00,-4.617,57.61196,-2.2039266,-1.4104072,-0.8370353986940077
2024-01-10 05:00:00,-5.517,64.18348,-2.324137,-0.9662619,0.3737485592200067
2024-01-10 06:00:00,-5.917,67.765205,-2.377564,-0.7241859,0.36809549882219533
2024-01-10 07:00:00,-6.117,70.18623,-2.404277,-0.5605573,-0.5846271667523407
2024-01-10 08:00:00,-5.117,66.089714,-2.27071,-0.83742636,-0.06597257342458525
2024-01-10 09:00:00,-3.217,57.988644,-2.0169327,-1.3849486,-0.4392074798711487
2024-01-10 10:00:00,-1.417,53.644783,-1.776512,-1.6785345,0.1767282014982689
2024-01-10 11:00:00,0.13299999,50.813236,-1.5694832,-1.8699086,0.7107818244255282
2024-01-10 12:00:00,1.433,48.67279,-1.3958459,-2.0145736,0.5068962913643803
2024-01-10 13:00:00,1.033,57.54696,-1.4492726,-1.4148004,0.16278483548421224
2024-01-10 14:00:00,1.033,57.767464,-1.4492726,-1.3998973,-0.2410514166387756
2024-01-10 15:00:00,0.333,60.526447,-1.5427697,-1.2134275,-0.43805439599019913
2024-01-10 16:00:00,-3.717,77.86025,-2.0837162,-0.04189795,-1.4807349434748935
2024-01-10 17:00:00,-3.217,76.16979,-2.0169327,-0.15615009,0.3104374947586512
2024-01-10 18:00:00,-4.467,81.421715,-2.1838915,0.19880849,0.31104961225240724
2024-01-10 19:00:00,-3.017,73.0522,-1.9902194,-0.3668569,-0.06746376781796727
2024-01-10 20:00:00,-3.467,75.83388,-2.0503244,-0.17885335,0.34218300979343885
2024-01-10 21:00:00,-3.967,79.6368,-2.1171079,0.0781727,0.5877947153757637
2024-01-10 22:00:00,-4.367,82.38036,-2.1705348,0.2636001,1.9118461293865814
2024-01-10 23:00:00,-4.667,84.58655,-2.210605,0.4127082,-0.13361067247807232
2024-01-11 00:00:00,-4.817,85.87815,-2.23064,0.500003,-0.2444444931096368
2024-01-11 01:00:00,-5.517,91.2493,-2.324137,0.8630195,0.3685439333895626
2024-01-11 02:00:00,-5.417,91.60661,-2.3107803,0.8871692,-0.10173685637640377
2024-01-11 03:00:00,-5.467,91.603226,-2.3174586,0.88694024,1.4014163370219914
2024-01-11 04:00:00,-5.767,92.288895,-2.357529,0.93328214,-0.06133961881054969
2024-01-11 05:00:00,-6.017,92.9855,-2.3909206,0.98036295,1.0653685150788397
2024-01-11 06:00:00,-6.317,92.610725,-2.4309907,0.9550335,1.1594032216777979
2024-01-11 07:00:00,-6.617,91.52473,-2.4710605,0.8816348,0.4834422834593838
2024-01-11 08:00:00,-5.917,89.136406,-2.377564,0.72021675,0.4309814429766108
2024-01-11 09:00:00,-3.817,74.89919,-2.097073,-0.24202533,1.2024675143994346
2024-01-11 10:00:00,-1.667,64.352196,-1.8099039,-0.95485896,-0.6993393253291169
2024-01-11 11:00:00,0.333,56.92123,-1.5427697,-1.4570912,-2.0168167497677647
2024-01-11 12:00:00,1.733,51.867786,-1.3557757,-1.7986354,0.08026248460416359
2024-01-11 13:00:00,1.283,57.39351,-1.4158809,-1.4251716,0.5515195788918701
2024-01-11 14:00:00,1.383,56.333782,-1.4025244,-1.4967947,-0.7006468992826463
2024-01-11 15:00:00,-0.06700003,61.83086,-1.5961965,-1.125267,0.8676381537412833
2024-01-11 16:00:00,-2.667,74.24988,-1.943471,-0.2859102,0.31005598842417004
2024-01-11 17:00:00,-3.6669998,79.0737,-2.0770378,0.04011461,-0.7205679464069845
2024-01-11 18:00:00,-4.017,80.55236,-2.1237864,0.14005196,1.4567321113047902
2024-01-11 19:00:00,-4.917,83.264046,-2.2439969,0.323325,1.2171520157140183
2024-01-11 20:00:00,-5.367,83.85209,-2.3041017,0.36306873,-0.2703241795726046
2024-01-11 21:00:00,-4.517,79.5526,-2.19057,0.07248154,-1.0085815328398968
2024-01-11 22:00:00,-3.967,77.51989,-2.1171079,-0.06490183,-0.21978762535441196
2024-01-11 23:00:00,-4.317,79.583275,-2.1638565,0.07455495,-0.3268878685232365
2024-01-12 00:00:00,-4.767,82.00964,-2.2239618,0.23854448,-0.513024040477388
